tripno,ozone,empst,occ,jbsite,wkweek,female,age,dweltp,pinc,hhsize,nveh,weight,nwkrs,nldr,hinc,trdist,mindst,minsub,dsttrm,nterm,aivtt,rivttg,rivttt,r-acca,r-egrw,r-wait,r-fare,lrdum,tivtt,twait,t-accw,t-egrw,t-fare,mcost,mdist,mspace,lnlots,zcost,zdist,zspace,zcd,zcs,zds,mdpri,mspri,lnlpri,zdpri,zspri,zdspri,free,aavail,tavail,dlic,a-dr,a-pass,transit,rail,walk
5903,236,1,9,1,1,1,35,1,33,6,2,1.78,-50,-50,0,14,181,10,14,21,41,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,33.14,5.31,2.04,4,0.71,6.04,648,4.7,4.74,6.15,54392.49,1.2,-60.78,0.54,-34.41,38,4.75,0.69,169,0.06,-3,160,1,1,1,0,0,1,-1,-1
5909,142,2,1,1,1,1,59,4,18,1,9,0.69,1,0,18,8,319,9,7,21,23,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,20.38,2.28,3.06,2.66,0.71,5.78,584,4.7,4.62,6.99,53752.04,1.23,40.51,0.69,11.2,71,2.28,1.61,505.84,0.16,5,740,5,1,0,-1,0,1,-1,-1
5939,816,2,1,1,1,1,58,3,23,2,2,0.42,2,2,0,25,249,2,17,22,59,20.79,0,9.15,4.28,0,2.1,0,55.47,4.98,3.01,8.11,1.42,6.62,644,4.87,4.55,5.81,59626.53,1.43,-62.17,-0.18,-30.84,0,0,9.99,0,0,0,0,1,1,1,0,0,0,1,-1
5955,345,2,1,6,1,1,50,1,18,3,2,1.78,2,-50,40,18,1599,11,4,21,41,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,39.62,4.9,2.21,7.03,0.71,6.37,649,4.76,2.48,6.9,85302.59,0.72,92.24,-0.9,-112.6,0,0,9.99,0,0,0,0,5,1,0,-1,0,1,-1,-1
6068,31,2,1,8,1,1,23,4,23,1,9,0.69,1,1,23,4,762,8,12,22,8,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,11.88,4.99,2.59,0.99,0.71,5.1,655,4.76,2.48,5.3,101567.67,0.75,-179.76,0.21,-118.8,48,3.53,0,0,0,0,0,5,1,1,-1,0,0,-1,1
6222,811,2,1,1,1,1,25,4,18,2,2,0.42,1,2,25,20,240,5,13,22,53,20.79,3.54,5.95,2.72,1,2.81,0,39.1,4.69,2.81,4.26,1.42,5.43,581,4.72,4.39,3.86,66423.34,0.87,3.12,0.08,-41.43,0,0,9.99,0,0,0,0,1,1,1,0,0,1,0,-1
6277,234,2,8,6,2,1,44,1,28,2,1,1.47,2,2,75,11,1143,12,13,21,37,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,26.1,4.16,5.37,3.98,0.71,6.98,794,4.92,3.22,6.35,31116.16,0.95,-127.91,-0.83,-12.34,0,0,9.99,0,0,0,0,1,1,1,0,0,1,-1,-1
6287,158,2,8,1,1,1,40,4,28,1,1,1.14,1,1,28,4,507,12,10,21,15,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9.86,1.52,2.79,6.54,0.71,5.46,717,4.75,3.89,3.69,43062.53,0.83,68.18,-0.24,5.3,0,0,9.99,0,0,0,0,1,1,1,0,0,1,-1,-1
6294,190,2,8,1,1,1,27,2,43,1,1,1.14,1,1,43,8,233,4,11,21,22,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,12.24,2.27,2.12,3.67,0.71,6.19,642,4.81,4.55,6.48,58538.11,1.03,-18.77,-0.04,-46.71,62,1.95,0,0,0,0,0,1,1,1,0,0,1,-1,-1
6318,810,2,1,6,1,1,25,4,18,2,1,0.52,2,2,50,22,133,11,15,22,57,20.79,2.59,5.28,0.55,1,2.81,0,42.94,4.5,0.55,2.98,1.42,6.56,669,4.81,4.43,6.51,58154.67,1.12,62.77,-0.13,-63.68,86,4.08,0,0,0,0,0,5,1,1,-1,0,1,0,-1
6359,69,2,8,1,1,0,34,1,38,2,1,1.47,2,2,75,8,196,9,13,22,27,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,17.56,2,2.39,4.34,0.71,5.82,589,4.7,4.63,6.55,54754.06,1.28,-19.36,0.52,-13.49,64,2.33,1.39,165.19,0.19,-3,961,2,1,1,1,0,0,-1,-1
