,n_variables,adjusted_r2,intercept,sum of squares,vars,,,,
168,3,0.981348983,-1.558719785,3005.150623,"('npers', 'nstud', 'nfem')",,,,
169,3,0.98120073,-1.548593707,3029.037865,"('npers', 'nstud', 'nmale')",,,,
170,3,0.986692221,-0.612420792,2144.219828,"('npers', 'nstud', 'nchild')",,,,
171,3,0.985685115,-0.447281376,2306.490018,"('npers', 'nstud', 'n65+')",,,,
172,3,0.970660421,-3.056784259,4727.34831,"('npers', 'nfem', 'nmale')",,,,
173,3,0.984388356,-1.271176029,2515.430754,"('npers', 'nfem', 'nchild')",,,,
174,3,0.972431444,-2.798434906,4441.991654,"('npers', 'nfem', 'n65+')",,,,
175,3,0.984314535,-1.226491926,2527.32518,"('npers', 'nmale', 'nchild')",,,,
176,3,0.97297053,-2.831565253,4355.131355,"('npers', 'nmale', 'n65+')",,,,
177,3,0.987593914,-0.879560959,1998.93429,"('npers', 'nchild', 'n65+')",,,,
178,3,0.991871603,-0.769174123,1309.690418,"('nveh', 'nlic', 'nftw')",,,,
179,3,0.970819834,-0.19888113,4701.662792,"('nveh', 'nlic', 'nptw')",,,,
180,3,0.973108581,-0.470397312,4332.88772,"('nveh', 'nlic', 'nwah')",,,,
181,3,0.968647246,-1.050078574,5051.721681,"('nveh', 'nlic', 'nstud')",,,,
182,3,0.974078269,-0.712903602,4176.646544,"('nveh', 'nlic', 'nfem')",,,,
183,3,0.978589584,-2.377360673,3449.75953,"('nveh', 'nlic', 'nmale')",,,,
184,3,0.969200953,-1.134616899,4962.505495,"('nveh', 'nlic', 'nchild')",,,,
185,3,0.96738022,-0.78347011,5255.871676,"('nveh', 'nlic', 'n65+')",,,,
186,3,0.99317641,-0.428429857,1099.452957,"('nveh', 'nftw', 'nptw')",,,,
187,3,0.991960541,-0.713654842,1295.360171,"('nveh', 'nftw', 'nwah')",,,,
188,3,0.991897924,-0.835142602,1305.449335,"('nveh', 'nftw', 'nstud')",,,,
189,3,0.992175593,-0.74394491,1260.709935,"('nveh', 'nftw', 'nfem')",,,,
190,3,0.991812649,-0.777787706,1319.189278,"('nveh', 'nftw', 'nmale')",,,,
191,3,0.99192363,-0.855313337,1301.307408,"('nveh', 'nftw', 'nchild')",,,,
192,3,0.99193134,-0.818271966,1300.065163,"('nveh', 'nftw', 'n65+')",,,,
193,3,0.916831656,-0.878505757,13400.52387,"('nveh', 'nptw', 'nwah')",,,,
194,3,0.902972287,-0.977896409,15633.61877,"('nveh', 'nptw', 'nstud')",,,,
195,3,0.945519337,-1.927103965,8778.212845,"('nveh', 'nptw', 'nfem')",,,,
196,3,0.971746608,-3.873942378,4552.336008,"('nveh', 'nptw', 'nmale')",,,,
197,3,0.903247272,-0.821849564,15589.31167,"('nveh', 'nptw', 'nchild')",,,,
198,3,0.915780314,-2.047000617,13569.92165,"('nveh', 'nptw', 'n65+')",,,,
199,3,0.910309325,-2.426316309,14451.43631,"('nveh', 'nwah', 'nstud')",,,,
200,3,0.950301619,-1.283299555,8007.666216,"('nveh', 'nwah', 'nfem')",,,,
201,3,0.973731419,-3.453330944,4232.532767,"('nveh', 'nwah', 'nmale')",,,,
202,3,0.91021317,-2.442430901,14466.92927,"('nveh', 'nwah', 'nchild')",,,,
203,3,0.92430642,-2.414406825,12196.15036,"('nveh', 'nwah', 'n65+')",,,,
204,3,0.956275926,0.095542619,7045.054227,"('nveh', 'nstud', 'nfem')",,,,
205,3,0.978030148,-3.196765534,3539.898778,"('nveh', 'nstud', 'nmale')",,,,
206,3,0.894306633,-3.115222253,17029.87484,"('nveh', 'nstud', 'nchild')",,,,
207,3,0.910093034,-3.247992331,14486.2863,"('nveh', 'nstud', 'n65+')",,,,
208,3,0.971723546,-3.627199319,4556.05191,"('nveh', 'nfem', 'nmale')",,,,
209,3,0.968129921,1.097198939,5135.075893,"('nveh', 'nfem', 'nchild')",,,,
210,3,0.94509053,-1.264003201,8847.304537,"('nveh', 'nfem', 'n65+')",,,,
211,3,0.977678539,-3.085556585,3596.551951,"('nveh', 'nmale', 'nchild')",,,,
212,3,0.972896658,-3.689672181,4367.033944,"('nveh', 'nmale', 'n65+')",,,,
213,3,0.909071607,-2.963119923,14650.86401,"('nveh', 'nchild', 'n65+')",,,,
214,3,0.993143654,-0.609165705,1104.730724,"('nlic', 'nftw', 'nptw')",,,,
215,3,0.991975888,-0.700695364,1292.887336,"('nlic', 'nftw', 'nwah')",,,,
216,3,0.991944788,-0.880619235,1297.898336,"('nlic', 'nftw', 'nstud')",,,,
217,3,0.992226087,-0.812736736,1252.573961,"('nlic', 'nftw', 'nfem')",,,,
218,3,0.991875412,-0.81456844,1309.076685,"('nlic', 'nftw', 'nmale')",,,,
219,3,0.991955819,-0.892960328,1296.120951,"('nlic', 'nftw', 'nchild')",,,,
220,3,0.99205458,-0.84370204,1280.208204,"('nlic', 'nftw', 'n65+')",,,,
221,3,0.972626804,-0.890104198,4410.514284,"('nlic', 'nptw', 'nwah')",,,,
222,3,0.961688402,-1.706793931,6172.967545,"('nlic', 'nptw', 'nstud')",,,,
223,3,0.968183143,-2.131752543,5126.50049,"('nlic', 'nptw', 'nfem')",,,,
224,3,0.976553109,-3.397870507,3777.887113,"('nlic', 'nptw', 'nmale')",,,,
225,3,0.961693055,-2.117863977,6172.217813,"('nlic', 'nptw', 'nchild')",,,,
226,3,0.961908773,-2.035421,6137.460136,"('nlic', 'nptw', 'n65+')",,,,
227,3,0.97157224,-1.271148184,4580.431182,"('nlic', 'nwah', 'nstud')",,,,
228,3,0.976261205,-1.105655773,3824.920299,"('nlic', 'nwah', 'nfem')",,,,
229,3,0.980635816,-2.405146976,3120.059886,"('nlic', 'nwah', 'nmale')",,,,
230,3,0.973132183,-1.529342957,4329.084889,"('nlic', 'nwah', 'nchild')",,,,
231,3,0.97155735,-1.148450733,4582.830345,"('nlic', 'nwah', 'n65+')",,,,
232,3,0.971608798,-0.87465034,4574.540797,"('nlic', 'nstud', 'nfem')",,,,
233,3,0.980153739,-2.852518081,3197.734551,"('nlic', 'nstud', 'nmale')",,,,
234,3,0.961001287,-2.505119306,6283.679086,"('nlic', 'nstud', 'nchild')",,,,
235,3,0.960876437,-2.423251131,6303.795635,"('nlic', 'nstud', 'n65+')",,,,
236,3,0.976554143,-3.265780756,3777.720586,"('nlic', 'nfem', 'nmale')",,,,
237,3,0.973536923,-0.256521004,4263.871089,"('nlic', 'nfem', 'nchild')",,,,
238,3,0.969019081,-1.795753903,4991.809636,"('nlic', 'nfem', 'n65+')",,,,
239,3,0.97931572,-2.911686422,3332.760683,"('nlic', 'nmale', 'nchild')",,,,
240,3,0.977679026,-3.314736936,3596.473471,"('nlic', 'nmale', 'n65+')",,,,
241,3,0.961173477,-2.507579743,6255.934869,"('nlic', 'nchild', 'n65+')",,,,
242,3,0.993051002,-0.654717615,1119.65933,"('nftw', 'nptw', 'nwah')",,,,
243,3,0.993114086,-0.474768679,1109.494838,"('nftw', 'nptw', 'nstud')",,,,
244,3,0.992556682,-0.980374112,1199.306745,"('nftw', 'nptw', 'nfem')",,,,
245,3,0.992783657,-0.604041891,1162.735452,"('nftw', 'nptw', 'nmale')",,,,
246,3,0.992619958,-0.859742038,1189.111461,"('nftw', 'nptw', 'nchild')",,,,
247,3,0.992525684,-1.033032374,1204.30142,"('nftw', 'nptw', 'n65+')",,,,
248,3,0.992018227,-0.835479256,1286.065462,"('nftw', 'nwah', 'nstud')",,,,
249,3,0.992311558,-0.779082181,1238.802436,"('nftw', 'nwah', 'nfem')",,,,
250,3,0.991964507,-0.778957553,1294.721102,"('nftw', 'nwah', 'nmale')",,,,
251,3,0.992101078,-0.860659374,1272.716051,"('nftw', 'nwah', 'nchild')",,,,
252,3,0.992097412,-0.814148483,1273.306849,"('nftw', 'nwah', 'n65+')",,,,
253,3,0.992031195,-0.885269884,1283.976121,"('nftw', 'nstud', 'nfem')",,,,
254,3,0.991732248,-0.995360332,1332.143908,"('nftw', 'nstud', 'nmale')",,,,
255,3,0.991753343,-1.100912925,1328.745057,"('nftw', 'nstud', 'nchild')",,,,
256,3,0.991774725,-1.112687105,1325.299887,"('nftw', 'nstud', 'n65+')",,,,
257,3,0.99202615,-0.831224894,1284.788841,"('nftw', 'nfem', 'nmale')",,,,
258,3,0.991997229,-0.92468176,1289.448817,"('nftw', 'nfem', 'nchild')",,,,
259,3,0.991922072,-1.070950199,1301.558505,"('nftw', 'nfem', 'n65+')",,,,
260,3,0.991815953,-0.964923593,1318.657016,"('nftw', 'nmale', 'nchild')",,,,
261,3,0.99180574,-0.952152979,1320.302572,"('nftw', 'nmale', 'n65+')",,,,
262,3,0.991795433,-1.136218439,1321.963288,"('nftw', 'nchild', 'n65+')",,,,
263,3,0.8324331,6.021876938,26999.26586,"('nptw', 'nwah', 'nstud')",,,,
264,3,0.932916819,0.707785002,10808.79722,"('nptw', 'nwah', 'nfem')",,,,
265,3,0.970372424,-3.020691414,4773.751815,"('nptw', 'nwah', 'nmale')",,,,
266,3,0.837539125,6.817092386,26176.55618,"('nptw', 'nwah', 'nchild')",,,,
267,3,0.869471785,3.099945201,21031.39697,"('nptw', 'nwah', 'n65+')",,,,
268,3,0.949820265,2.93102123,8085.224488,"('nptw', 'nstud', 'nfem')",,,,
269,3,0.980782991,-1.481427098,3096.346276,"('nptw', 'nstud', 'nmale')",,,,
270,3,0.835709327,7.122402041,26471.38296,"('nptw', 'nstud', 'nchild')",,,,
271,3,0.871013204,4.584093635,20783.03534,"('nptw', 'nstud', 'n65+')",,,,
272,3,0.970542907,-3.117774372,4746.282799,"('nptw', 'nfem', 'nmale')",,,,
273,3,0.967310756,1.923152372,5267.06404,"('nptw', 'nfem', 'nchild')",,,,
274,3,0.935918657,0.934970977,10325.12521,"('nptw', 'nfem', 'n65+')",,,,
275,3,0.978439483,-2.194274526,3473.944665,"('nptw', 'nmale', 'nchild')",,,,
276,3,0.971631031,-3.175610343,4570.958434,"('nptw', 'nmale', 'n65+')",,,,
277,3,0.882095082,4.666202276,18997.46454,"('nptw', 'nchild', 'n65+')",,,,
278,3,0.947375204,2.427101208,8479.185721,"('nwah', 'nstud', 'nfem')",,,,
279,3,0.976358132,-2.52295544,3809.302985,"('nwah', 'nstud', 'nmale')",,,,
280,3,0.765418251,2.247912103,37797.0532,"('nwah', 'nstud', 'nchild')",,,,
281,3,0.823604208,0.819863627,28421.82373,"('nwah', 'nstud', 'n65+')",,,,
282,3,0.970698627,-2.86415316,4721.192366,"('nwah', 'nfem', 'nmale')",,,,
283,3,0.967292004,1.954902362,5270.085476,"('nwah', 'nfem', 'nchild')",,,,
284,3,0.935098207,1.082491812,10457.32044,"('nwah', 'nfem', 'n65+')",,,,
285,3,0.976918725,-2.62035037,3718.977242,"('nwah', 'nmale', 'nchild')",,,,
286,3,0.97173387,-3.071318229,4554.388456,"('nwah', 'nmale', 'n65+')",,,,
287,3,0.785296688,3.576735733,34594.13408,"('nwah', 'nchild', 'n65+')",,,,
