,n_variables,adjusted_r2,intercept,sum of squares,vars
203,3,0.120180438,0.905272301,2061.720704,"('nveh', 'nwah', 'n65+')"
204,3,0.104535605,0.639349196,2098.381943,"('nveh', 'nstud', 'nfem')"
205,3,0.138667046,0.585774581,2018.400205,"('nveh', 'nstud', 'nmale')"
206,3,0.077740838,0.801325253,2161.171324,"('nveh', 'nstud', 'nchild')"
207,3,0.116533368,0.900174407,2070.267045,"('nveh', 'nstud', 'n65+')"
208,3,0.157071901,0.397170299,1975.27128,"('nveh', 'nfem', 'nmale')"
209,3,0.10272232,0.626532223,2102.631097,"('nveh', 'nfem', 'nchild')"
210,3,0.145065521,0.722005076,2003.406371,"('nveh', 'nfem', 'n65+')"
211,3,0.135779543,0.570901999,2025.166621,"('nveh', 'nmale', 'nchild')"
212,3,0.170772479,0.671879018,1943.166101,"('nveh', 'nmale', 'n65+')"
213,3,0.116500645,0.890429371,2070.343727,"('nveh', 'nchild', 'n65+')"
214,3,0.468530408,0.07636541,1245.416571,"('nlic', 'nftw', 'nptw')"
215,3,0.425630979,0.147324517,1345.944729,"('nlic', 'nftw', 'nwah')"
216,3,0.424815772,0.148526746,1347.855041,"('nlic', 'nftw', 'nstud')"
217,3,0.424782562,0.138082684,1347.932863,"('nlic', 'nftw', 'nfem')"
218,3,0.425163881,0.140892155,1347.039301,"('nlic', 'nftw', 'nmale')"
219,3,0.424277168,0.155488994,1349.117175,"('nlic', 'nftw', 'nchild')"
220,3,0.426113264,0.192013715,1344.814568,"('nlic', 'nftw', 'n65+')"
221,3,0.161338636,0.511747043,1965.272848,"('nlic', 'nptw', 'nwah')"
222,3,0.161641286,0.518046652,1964.563636,"('nlic', 'nptw', 'nstud')"
223,3,0.164177205,0.427070581,1958.621103,"('nlic', 'nptw', 'nfem')"
224,3,0.177753774,0.409586664,1926.80652,"('nlic', 'nptw', 'nmale')"
225,3,0.156414526,0.502246579,1976.811736,"('nlic', 'nptw', 'nchild')"
226,3,0.177474247,0.602760488,1927.461548,"('nlic', 'nptw', 'n65+')"
227,3,0.155784607,0.54103801,1978.287855,"('nlic', 'nwah', 'nstud')"
228,3,0.165557095,0.434677459,1955.387544,"('nlic', 'nwah', 'nfem')"
229,3,0.178886072,0.425952822,1924.153155,"('nlic', 'nwah', 'nmale')"
230,3,0.154610374,0.52563853,1981.039488,"('nlic', 'nwah', 'nchild')"
231,3,0.176344924,0.631313024,1930.10794,"('nlic', 'nwah', 'n65+')"
232,3,0.169004672,0.412770167,1947.308682,"('nlic', 'nstud', 'nfem')"
