zone,dwtype,npers,nveh,nlic,nftw,nptw,nwah,nstud,nfem,nmale,nchild,n65+,nwork,nnwk,expfac
3,2,1,0,0,0,0,0,0,1,0,0,1,0,2,25.53
401,2,1,1,1,0,0,0,0,1,0,0,1,0,4,25.53
36,2,2,1,2,2,0,0,0,1,1,0,0,2,3,26.34
18,2,1,1,1,1,0,0,0,0,1,0,0,0,0,27.24
9,2,1,0,0,0,0,0,1,1,0,0,0,0,2,25.53
9,2,2,0,0,1,0,0,0,0,2,0,0,1,1,25.53
7,2,2,0,2,2,0,0,0,1,1,0,0,2,2,30.35
29,2,1,0,0,0,0,0,0,1,0,0,1,0,0,22.11
25,2,2,0,0,2,0,0,0,1,1,0,0,3,2,27.24
6,1,2,1,2,2,0,0,0,1,1,0,0,0,4,30.35
11,2,1,0,0,0,0,0,0,1,0,0,0,0,0,25.53
2,1,2,2,2,2,0,0,0,1,1,0,0,2,3,24.62
28,2,1,0,1,1,0,0,0,0,1,0,0,2,2,22.11
3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,25.53
2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,24.62
14,2,2,1,2,1,0,0,0,1,1,0,0,1,1,22.11
7,2,2,0,1,2,0,0,0,1,1,0,0,2,2,30.35
3,2,2,1,1,2,0,0,0,1,1,0,0,2,5,25.53
23,2,1,0,1,0,0,0,0,1,0,0,0,0,0,30.35
7,2,1,0,0,0,0,0,0,1,0,0,1,0,0,30.35
1,2,2,1,2,2,0,0,0,1,1,0,0,2,2,24.62
17,2,1,0,1,1,0,0,0,1,0,0,0,1,1,27.24
13,2,1,0,0,0,0,0,0,1,0,0,0,0,0,22.11
31,2,1,0,0,0,0,0,1,1,0,0,0,0,2,26.34
7,2,4,1,1,2,0,0,0,2,2,0,0,2,1,30.35
21,1,2,0,1,0,0,0,0,1,1,0,2,0,0,30.35
1,2,2,2,2,2,0,0,0,1,1,0,0,2,2,24.62
9,2,2,0,2,2,0,0,0,0,2,0,0,2,0,25.53
10,2,2,0,0,2,0,0,0,1,1,0,0,2,4,25.53
19,1,3,1,2,1,0,0,0,2,1,1,0,0,5,27.24
24,2,1,0,0,0,0,0,0,1,0,0,0,0,0,30.35
29,2,2,0,0,1,0,0,1,2,0,0,0,1,3,22.11
8,2,1,0,1,0,0,1,0,1,0,0,0,0,0,30.35
8,2,1,1,0,1,0,0,0,1,0,0,0,0,1,30.35
9,2,1,0,0,1,0,0,0,0,1,0,0,1,1,25.53
2,2,1,0,1,1,0,0,0,1,0,0,0,1,1,24.62
2,2,1,0,0,0,0,0,1,1,0,0,0,0,3,24.62
405,2,1,0,1,1,0,0,0,1,0,0,0,0,0,26.34
7,2,2,1,1,1,0,0,0,0,2,0,0,1,3,30.35
2,2,1,1,1,1,0,0,0,0,1,0,0,2,4,24.62
9,2,1,1,0,1,0,0,0,0,1,0,0,1,1,25.53
25,2,1,0,1,1,0,0,0,0,1,0,0,1,3,27.24
20,2,1,0,1,1,0,0,0,0,1,0,0,1,3,30.35
2,2,1,1,1,1,0,0,0,0,1,0,0,1,1,24.62
